2746,21707
2777,21712
2770,21839
2777,21844
2773,24719
2771,24724
2771,24729
2765,24734
2767,24739
2770,24744
2770,24749
2768,24754
2768,24759
2768,24764
2768,24891
2762,24896
2768,24901
2769,24906
2766,24911
2766,24916
2768,24921
2770,24926
2767,24931
2763,24936
2765,24941
2769,24946
2768,24951
2768,24956
2761,24961
2775,24966
2768,24971
2762,25098
2779,25103
2800,25108
2859,25113
2762,25118
2805,25123
2679,25128
2754,25133
2769,25138
2768,25143
2769,25148
2768,25153
2793,25158
2733,25163
2774,25168
2730,25173
2767,25300
2769,25305
2769,25310
2766,25315
2768,25320
2767,25325
2763,25330
2768,25335
2765,25340
2768,25345
2768,25350
2765,25355
2767,25360
2770,25365
2768,25370
2768,25375
2767,25502
2771,25507
2770,25512
2769,25517
2766,25522
2771,25527
2768,25532
2767,25537
2769,25542
2773,25547
2768,25552
2770,25557
2768,25562
2773,25567
2774,25572
2770,25577
2743,25704
2775,25709
2758,25714
2746,25719
2757,25724
2757,25729
2786,25734
2768,25739
2771,25744
2789,25749
2781,25754
2789,25759
2763,25764
2794,25769
2779,25774
2778,25779
2843,25784
2774,25911
2778,25916
2766,25921
2768,25926
2779,25931
2767,25936
2768,25941
2767,25946
2775,25951
2763,25956
2768,25961
2768,25966
2774,25971
2770,25976
2767,25981
2769,25986
2773,26113
2783,26118
2751,26123
2747,26128
2752,26133
2770,26138
2752,26143
2768,26148
2774,26153
2768,26158
2759,26163
2770,26168
2774,26173
2763,26178
2757,26183
2749,26188
2771,26315
2768,26320
2768,26325
2773,26330
2768,26335
2768,26340
2768,26345
2783,26350
2769,26355
2768,26360
2771,26365
2771,26370
2767,26375
2772,26380
2768,26385
2774,26390
2768,26395
2763,26522
2773,26527
2771,26532
2769,26537
2768,26542
2772,26547
2775,26552
2768,26557
2766,26562
2770,26567
2773,26572
2771,26577
2768,26582
2773,26587
2777,26592
2779,26597
2751,26724
2784,26729
2774,26734
2763,26739
2806,26744
2777,26749
2768,26754
2783,26759
2771,26764
2785,26769
2788,26774
2786,26779
2841,26784
2751,26789
2747,26794
2751,26799
2768,26926
2773,26931
2770,26936
2766,26941
2763,26946
2782,26951
2768,26956
2759,26961
2768,26966
2766,26971
2769,26976
2768,26981
2773,26986
2771,26991
2768,26996
2769,27001
2800,27128
2767,27133
2855,27138
2751,27143
2800,27148
2761,27153
2767,27158
2767,27163
2769,27168
2775,27173
2770,27178
2759,27183
2767,27188
2769,27193
2767,27198
2757,27203
2761,27208
2723,27336
2724,27341
2729,27346
2735,27351
2733,27356
2723,27361
2729,27366
2736,27371
2726,27376
2735,27381
2736,27386
2736,27391
2729,27396
2724,27401
2719,27406
2717,27411
2741,27538
2736,27543
2736,27548
2749,27553
2748,27558
2735,27563
2737,27568
2741,27573
2741,27578
2734,27583
2739,27588
2745,27593
2740,27598
2741,27603
2747,27608
2745,27613
2763,27740
2755,27745
2800,27750
2768,27755
2753,27760
2751,27765
2765,27770
2763,27775
2762,27780
2753,27785
2768,27790
2771,27795
2768,27800
2778,27805
2757,27810
2758,27815
2750,27820
2753,27947
2759,27952
2757,27957
2759,27962
2754,27967
2757,27972
2760,27977
2752,27982
2759,27987
2765,27992
2758,27997
2747,28002
2754,28007
2769,28012
2762,28017
2751,28022
2734,28149
2747,28154
2755,28159
2735,28164
2740,28169
2774,28174
2822,28179
2736,28184
2743,28189
2774,28194
2783,28199
2736,28204
2741,28209
2784,28214
2777,28219
2739,28224
2770,28351
2771,28356
2754,28361
2688,28366
2753,28371
2763,28376
2736,28381
2673,28386
2742,28391
2749,28396
2718,28401
2666,28406
2730,28411
2751,28416
2720,28421
2671,28426
2800,28553
2792,28558
2742,28563
2731,28568
2800,28573
2784,28578
2738,28583
2733,28588
2800,28593
2783,28598
2739,28603
2736,28608
2805,28613
2787,28618
2740,28623
2735,28628
2811,28633
2751,28760
2737,28765
2777,28770
2805,28775
2809,28780
2719,28785
2775,28790
2800,28795
2784,28800
2707,28805
2783,28810
2767,28815
2773,28820
2704,28825
2651,28830
2781,28835
2772,28962
2723,28967
2809,28972
2793,28977
2768,28982
2726,28987
2806,28992
2794,28997
2768,29002
2721,29007
2813,29012
2790,29017
2768,29022
2726,29027
2814,29032
2796,29037
2699,29164
2739,29169
2805,29174
2798,29179
2720,29184
2717,29189
2800,29194
2789,29199
2721,29204
2742,29209
2800,29214
2785,29219
2747,29224
2745,29229
2800,29234
2775,29239
2710,29244
2795,29371
2797,29376
2779,29381
2704,29386
2795,29391
2786,29396
2771,29401
2698,29406
2795,29411
2800,29416
2768,29421
2704,29426
2801,29431
2797,29436
2775,29441
2704,29446
2832,29573
2781,29578
2743,29583
2720,29588
2814,29593
2778,29598
2738,29603
2720,29608
2810,29613
2783,29618
2736,29623
2689,29628
2775,29633
2744,29638
2687,29643
2667,29648
2745,29775
2729,29780
2673,29785
2736,29790
2767,29795
2759,29800
2702,29805
2747,29810
2777,29815
2797,29820
2671,29825
2755,29830
2750,29835
2740,29840
2703,29845
2705,29850
2782,29977
2763,29982
2709,29987
2787,29992
2784,29997
2767,30002
2707,30007
2785,30012
2783,30017
2766,30022
2709,30027
2783,30032
2779,30037
2760,30042
2702,30047
2794,30052
2782,30057
2677,30184
2677,30189
2726,30194
2702,30199
2640,30204
2637,30209
2668,30214
2663,30219
2614,30224
2608,30229
2673,30234
2657,30239
2602,30244
2615,30249
2688,30254
2668,30259
2544,30386
2610,30391
2630,30396
2610,30401
2559,30406
2630,30411
2640,30416
2615,30421
2544,30426
2605,30431
2613,30436
2593,30441
2519,30446
2580,30451
2587,30456
2559,30461
2437,30588
2519,30593
2494,30598
2477,30603
2431,30608
2513,30613
2491,30618
2466,30623
2429,30628
2511,30633
2480,30638
2459,30643
2416,30648
2496,30653
2500,30658
2460,30663
2433,30790
2480,30795
2470,30800
2397,30805
2443,30810
2480,30815
2477,30820
2418,30825
2445,30830
2592,30835
2467,30840
2415,30845
2429,30850
2479,30855
2464,30860
2410,30865
2434,30870
2464,30997
2445,31002
2385,31007
2458,31012
2471,31017
2445,31022
2384,31027
2461,31032
2460,31037
2437,31042
2378,31047
2464,31052
2464,31057
2447,31062
2384,31067
2459,31072
2483,31199
2429,31204
2439,31209
2555,31214
2491,31219
2442,31224
2433,31229
2498,31234
2475,31239
2426,31244
2424,31249
2451,31254
2463,31259
2416,31264
2416,31269
2465,31274
2447,31401
2383,31406
2442,31411
2460,31416
2441,31421
2384,31426
2434,31431
2453,31436
2439,31441
2374,31446
2430,31451
2447,31456
2434,31461
2375,31466
2433,31471
2448,31476
2433,31481
2379,31608
2462,31613
2445,31618
2423,31623
2378,31628
2463,31633
2448,31638
2417,31643
2375,31648
2457,31653
2446,31658
2429,31663
2385,31668
2479,31673
2450,31678
2442,31683
2401,31810
2447,31815
2453,31820
2399,31825
2422,31830
2475,31835
2457,31840
2512,31845
2430,31850
2452,31855
2455,31860
2402,31865
2416,31870
2470,31875
2455,31880
2404,31885
2453,32012
2460,32017
2446,32022
2382,32027
2450,32032
2455,32037
2437,32042
2373,32047
2448,32052
2448,32057
2434,32062
2384,32067
2443,32072
2457,32077
2442,32082
2381,32087
2475,32214
2480,32219
2448,32224
2399,32229
2511,32234
2482,32239
2448,32244
2432,32249
2480,32254
2483,32259
2449,32264
2427,32269
2481,32274
2494,32279
2458,32284
2432,32289
2523,32294
2489,32421
2421,32426
2480,32431
2503,32436
2485,32441
2423,32446
2465,32451
2497,32456
2478,32461
2417,32466
2467,32471
2493,32476
2477,32481
2417,32486
2461,32491
2484,32496
2448,32623
2391,32628
2474,32633
2467,32638
2450,32643
2395,32648
2475,32653
2467,32658
2450,32663
2398,32668
2479,32673
2491,32678
2465,32683
2405,32688
2496,32693
2480,32698
2417,32825
2432,32830
2490,32835
2482,32840
2425,32845
2444,32850
2512,32855
2454,32860
2442,32865
2426,32870
2512,32875
2497,32880
2448,32885
2459,32890
2518,32895
2511,32900
2448,32905
2512,33032
2522,33037
2512,33042
2448,33047
2514,33052
2532,33057
2509,33062
2446,33067
2512,33072
2525,33077
2508,33082
2441,33087
2510,33092
2527,33097
2506,33102
2446,33107
2518,33234
2493,33239
2463,33244
2393,33249
2502,33254
2495,33259
2453,33264
2413,33269
2503,33274
2479,33279
2450,33284
2403,33289
2530,33294
2486,33299
2448,33304
2411,33309
2505,33436
2493,33441
2433,33446
2477,33451
2503,33456
2496,33461
2429,33466
2464,33471
2504,33476
2496,33481
2437,33486
2458,33491
2512,33496
2495,33501
2433,33506
2473,33511
2507,33638
2490,33643
2428,33648
2507,33653
2509,33658
2482,33663
2428,33668
2506,33673
2506,33678
2492,33683
2432,33688
2509,33693
2510,33698
2461,33703
2413,33708
2485,33713
2518,33718
2421,33846
2447,33851
2506,33856
2497,33861
2423,33866
2455,33871
2499,33876
2450,33881
2399,33886
2384,33891
2436,33896
2449,33901
2394,33906
2418,33911
2467,33916
2451,33921
2416,34049
2503,34054
2482,34059
2464,34064
2417,34069
2501,34074
2483,34079
2466,34084
2421,34089
2512,34094
2491,34099
2479,34104
2427,34109
2512,34114
2495,34119
2470,34124
2416,34251
2489,34256
2479,34261
2416,34266
2443,34271
2493,34276
2518,34281
2415,34286
2478,34291
2472,34296
2446,34301
2411,34306
2443,34311
2490,34316
2438,34321
2418,34326
2399,34331
2467,34458
2448,34463
2387,34468
2453,34473
2464,34478
2443,34483
2381,34488
2457,34493
2466,34498
2448,34503
2380,34508
2453,34513
2459,34518
2443,34523
2382,34528
2453,34533
2478,34660
2434,34665
2422,34670
2503,34675
2479,34680
2438,34685
2419,34690
2508,34695
2482,34700
2449,34705
2443,34710
2525,34715
2510,34720
2419,34725
2419,34730
2497,34735
2487,34862
2421,34867
2478,34872
2501,34877
2501,34882
2421,34887
2448,34892
2538,34897
2415,34902
2416,34907
2471,34912
2487,34917
2478,34922
2417,34927
2476,34932
2480,34937
2481,34942
2416,35069
2496,35074
2481,35079
2466,35084
2416,35089
2496,35094
2481,35099
2470,35104
2422,35109
2505,35114
2489,35119
2463,35124
2419,35129
2503,35134
2492,35139
2469,35144
2448,35271
2501,35276
2496,35281
2416,35286
2448,35291
2509,35296
2478,35301
2446,35306
2448,35311
2507,35316
2494,35321
2419,35326
2451,35331
2501,35336
2499,35341
2451,35346
2524,35473
2534,35478
2519,35483
2447,35488
2527,35493
2530,35498
2519,35503
2453,35508
2527,35513
2532,35518
2516,35523
2455,35528
2535,35533
2538,35538
2514,35543
2457,35548
2587,35675
2555,35680
2529,35685
2498,35690
2594,35695
2559,35700
2534,35705
2503,35710
2597,35715
2559,35720
2542,35725
2477,35730
2606,35735
2546,35740
2482,35745
2481,35750
2592,35755
2592,35882
2522,35887
2559,35892
2611,35897
2603,35902
2500,35907
2544,35912
2483,35917
2559,35922
2512,35927
2559,35932
2586,35937
2559,35942
2510,35947
2559,35952
2590,35957
2559,36084
2511,36089
2595,36094
2592,36099
2559,36104
2515,36109
2593,36114
2593,36119
2559,36124
2515,36129
2608,36134
2608,36139
2586,36144
2527,36149
2609,36154
2603,36159
2530,36286
2544,36291
2610,36296
2608,36301
2542,36306
2544,36311
2586,36316
2606,36321
2531,36326
2549,36331
2619,36336
2595,36341
2586,36346
2519,36351
2607,36356
2597,36361
2519,36366
2624,36493
2636,36498
2607,36503
2523,36508
2625,36513
2627,36518
2608,36523
2523,36528
2629,36533
2628,36538
2611,36543
2519,36548
2639,36553
2639,36558
2609,36563
2522,36568
2695,36695
2645,36700
2610,36705
2582,36710
2694,36715
2657,36720
2633,36725
2609,36730
2704,36735
2662,36740
2588,36745
2559,36750
2682,36755
2638,36760
2652,36765
2596,36770
2694,36897
2678,36902
2583,36907
2686,36912
2672,36917
2667,36922
2589,36927
2675,36932
2672,36937
2661,36942
2590,36947
2679,36952
2686,36957
2672,36962
2595,36967
2683,36972
2723,37099
2704,37104
2641,37109
2743,37114
2735,37119
2706,37124
2655,37129
2746,37134
2736,37139
2713,37144
2647,37149
2751,37154
2736,37159
2715,37164
2655,37169
2759,37174
2741,37179
2669,37307
2727,37312
2769,37317
2751,37322
2641,37327
2745,37332
2757,37337
2747,37342
2663,37347
2736,37352
2767,37357
2786,37362
2642,37367
2742,37372
2754,37377
2738,37382
2559,37509
2656,37514
2651,37519
2624,37524
2559,37529
2644,37534
2645,37539
2623,37544
2558,37549
2644,37554
2640,37559
2620,37564
2549,37569
2640,37574
2638,37579
2623,37584
2599,37711
2671,37716
2649,37721
2594,37726
2598,37731
2667,37736
2649,37741
2596,37746
2595,37751
2681,37756
2653,37761
2559,37766
2559,37771
2657,37776
2639,37781
2559,37786
2589,37791
2672,37918
2671,37923
2543,37928
2644,37933
2649,37938
2644,37943
2586,37948
2652,37953
2667,37958
2650,37963
2583,37968
2663,37973
2673,37978
2645,37983
2591,37988
2659,37993
2681,38120
2657,38125
2616,38130
2711,38135
2683,38140
2658,38145
2617,38150
2707,38155
2683,38160
2663,38165
2621,38170
2694,38175
2683,38180
2667,38185
2624,38190
2715,38195
2657,38322
2623,38327
2659,38332
2703,38337
2689,38342
2633,38347
2654,38352
2737,38357
2686,38362
2640,38367
2642,38372
2743,38377
2695,38382
2635,38387
2665,38392
2708,38397
2695,38524
2631,38529
2714,38534
2709,38539
2691,38544
2626,38549
2709,38554
2715,38559
2692,38564
2624,38569
2711,38574
2707,38579
2690,38584
2629,38589
2707,38594
2710,38599
2689,38604
2640,38731
2724,38736
2697,38741
2655,38746
2638,38751
2722,38756
2709,38761
2661,38766
2704,38771
2704,38776
2678,38781
2639,38786
2640,38791
2725,38796
2695,38801
2643,38806
2675,38933
2710,38938
2661,38943
2623,38948
2684,38953
2704,38958
2689,38963
2630,38968
2688,38973
2705,38978
2688,38983
2636,38988
2695,38993
2704,38998
2696,39003
2625,39008
2723,39135
2717,39140
2688,39145
2645,39150
2736,39155
2704,39160
2695,39165
2647,39170
2731,39175
2706,39180
2699,39185
2647,39190
2736,39195
2716,39200
2695,39205
2647,39210
2735,39215
2720,39342
2658,39347
2687,39352
2715,39357
2727,39362
2654,39367
2691,39372
